line_type;mkp_name;mkp_order_no;order_date;ordoro_id;sku;item_sale_price;item_tax;shipping_sale;total_per_sku;title;supplier_name;order_status;item_cost;cancelled_value;transport_cost_est;first_pick_date;last_delivery_date;courier;mage_mkp_commission;mkp_estimated_commission;mkp_actual_commission;order_grand_total;ordoro_import_date;tool_import_date;max_shipping_date;max_delivery_date;cd_status;is_clogistique_order;line_status;transport_cost_actual;order_place_time;order_prep_time;order_delivery_time;order_total_time;gm_estimated
ORDER LINE;CDiscount;20090822540NKZH;8.09.2020 20:54;1-300054777;AKO-K120-6SZ-BIALA;124,95;0;19,95;144,9;;AKO;shipped;39,16;0;16;10.09.2020 11:15;0000-00-00 00:00:00;UPS;0;0;21,73;144,9;9.09.2020 00:33;9.09.2020 00:45;23.09.2020 00:00;2.10.2020 00:00;WaitingForShipmentAcceptation;No;Awaiting shipment;0;24;1;23;48;43,86
ORDER LINE;CDiscount;20090822490NYP2;8.09.2020 20:49;1-300054778;AKO-SZAFKA-BUTY-3D-UCHYLNE-BIALA-POLYSK;134,95;0;19,95;154,9;;AKO;shipped;58,84;0;0;10.09.2020 21:19;15.09.2020 15:21;DPD;0;0;23,23;154,9;9.09.2020 00:33;9.09.2020 00:45;23.09.2020 00:00;2.10.2020 00:00;WaitingForShipmentAcceptation;No;Awaiting shipment;0;1;0;4;5;47,01
ORDER LINE;CDiscount;20090822490NYP2;8.09.2020 20:49;1-300054778;AKO-SZAFKA-BUTY-3D-UCHYLNE-BIALA-POLYSK;134,95;0;19,95;154,9;;AKO;shipped;58,84;0;0;10.09.2020 21:19;15.09.2020 15:21;DPD;0;0;23,23;154,9;9.09.2020 00:33;9.09.2020 00:45;23.09.2020 00:00;2.10.2020 00:00;WaitingForShipmentAcceptation;No;Awaiting shipment;0;1;0;4;5;47,01
ORDER LINE;CDiscount;20090823210LVT1;8.09.2020 21:21;1-300054779;AKO-B-16-CLP-NAROZNE-BIALE-PRAWE;159,95;0;19,95;179,9;;AKO;shipped;51,68;0;16;11.09.2020 11:23;16.09.2020 11:17;UPS;0;0;26,98;179,9;9.09.2020 00:33;9.09.2020 00:45;23.09.2020 00:00;2.10.2020 00:00;WaitingForShipmentAcceptation;No;Awaiting shipment;0;24;2;4;30;55,26
ORDER LINE;CDiscount;20090823210LVT1;8.09.2020 21:21;1-300054779;AKO-B-16-CLP-NAROZNE-BIALE-PRAWE;159,95;0;19,95;179,9;;AKO;shipped;51,68;0;16;11.09.2020 11:23;16.09.2020 11:17;UPS;0;0;26,98;179,9;9.09.2020 00:33;9.09.2020 00:45;23.09.2020 00:00;2.10.2020 00:00;WaitingForShipmentAcceptation;No;Awaiting shipment;0;24;2;4;30;55,26
ORDER LINE;Monechelle;M200923363629;8.09.2020 23:47;1-300054782;AKO-KUCHNIA-OLIWIA-180;199,95;0;0;199,95;;AKO;cancelled;64,2;166,63;16;10.09.2020 11:19;0000-00-00 00:00:00;UPS;0;29,99;0;199,95;9.09.2020 01:41;9.09.2020 01:45;15.09.2020 00:00;24.09.2020 00:00;;No;Cancelled;0;24;1;23;48;-80,2
ORDER LINE;Monechelle;M200923363629;8.09.2020 23:47;1-300054782;AKO-KUCHNIA-OLIWIA-180;199,95;0;0;199,95;;AKO;cancelled;64,2;166,63;16;10.09.2020 11:19;0000-00-00 00:00:00;UPS;0;29,99;0;199,95;9.09.2020 01:41;9.09.2020 01:45;15.09.2020 00:00;24.09.2020 00:00;;No;Cancelled;0;24;1;23;48;-80,2
ORDER LINE;CDiscount;20090901190HSTI;8.09.2020 23:19;1-300054784;AKO-K120-6SZ-BIALA;124,95;0;19,95;144,9;;AKO;shipped;39,16;0;16;10.09.2020 11:16;15.09.2020 09:20;UPS;0;0;21,73;144,9;9.09.2020 03:04;9.09.2020 03:10;23.09.2020 00:00;2.10.2020 00:00;Shipped;No;Awaiting shipment;0;24;1;4;29;43,86
ORDER LINE;CDiscount;20090901190HSTI;8.09.2020 23:19;1-300054784;AKO-K120-6SZ-BIALA;124,95;0;19,95;144,9;;AKO;shipped;39,16;0;16;10.09.2020 11:16;15.09.2020 09:20;UPS;0;0;21,73;144,9;9.09.2020 03:04;9.09.2020 03:10;23.09.2020 00:00;2.10.2020 00:00;Shipped;No;Awaiting shipment;0;24;1;4;29;43,86
ORDER LINE;CDiscount;20090904140FZLM;9.09.2020 02:14;1-300054785;AKO-K60-5SZ-SONOMA-BIALA;126,95;0;19,95;146,9;;AKO;shipped;37,38;0;16;10.09.2020 11:22;21.09.2020 07:31;UPS;0;0;22,03;146,9;9.09.2020 05:18;9.09.2020 05:30;23.09.2020 00:00;2.10.2020 00:00;Shipped;No;Awaiting shipment;0;24;1;10;35;47,01
ORDER LINE;CDiscount;20090904140FZLM;9.09.2020 02:14;1-300054785;AKO-K60-5SZ-SONOMA-BIALA;126,95;0;19,95;146,9;;AKO;shipped;37,38;0;16;10.09.2020 11:22;21.09.2020 07:31;UPS;0;0;22,03;146,9;9.09.2020 05:18;9.09.2020 05:30;23.09.2020 00:00;2.10.2020 00:00;Shipped;No;Awaiting shipment;0;24;1;10;35;47,01
ORDER LINE;conforama;4879561403-A;9.09.2020 03:15;1-300054787;AKO-K60-5SZ-BIALA;99,95;0;9,95;109,9;;AKO;shipped;35,59;0;16;11.09.2020 14:19;16.09.2020 13:19;UPS;0;16,99;0;109,9;9.09.2020 07:36;9.09.2020 07:45;23.09.2020 00:00;2.10.2020 00:00;;No;Awaiting shipment;0;24;2;4;30;23
ORDER LINE;conforama;4879561403-A;9.09.2020 03:15;1-300054787;AKO-K60-5SZ-BIALA;99,95;0;9,95;109,9;;AKO;shipped;35,59;0;16;11.09.2020 14:19;16.09.2020 13:19;UPS;0;16,99;0;109,9;9.09.2020 07:36;9.09.2020 07:45;23.09.2020 00:00;2.10.2020 00:00;;No;Awaiting shipment;0;24;2;4;30;23
ORDER LINE;CDiscount;20090907430BUUQ;9.09.2020 05:43;1-300054793;AKO-K60-5SZ-BIALA-SONOMA;126,95;0;19,95;146,9;;AKO;shipped;37,38;0;16;11.09.2020 12:10;16.09.2020 11:38;UPS;0;0;22,03;146,9;9.09.2020 08:44;9.09.2020 08:45;23.09.2020 00:00;2.10.2020 00:00;WaitingForShipmentAcceptation;No;Awaiting shipment;0;24;2;4;30;47,01
ORDER LINE;CDiscount;20090907430BUUQ;9.09.2020 05:43;1-300054793;AKO-K60-5SZ-BIALA-SONOMA;126,95;0;19,95;146,9;;AKO;shipped;37,38;0;16;11.09.2020 12:10;16.09.2020 11:38;UPS;0;0;22,03;146,9;9.09.2020 08:44;9.09.2020 08:45;23.09.2020 00:00;2.10.2020 00:00;WaitingForShipmentAcceptation;No;Awaiting shipment;0;24;2;4;30;47,01
ORDER LINE;Monechelle;M200923366242;9.09.2020 07:48;1-300054796;AKO-A-6-BIALE-LEWE;86,95;0;0;86,95;;AKO;shipped;26,65;0;0;10.09.2020 21:20;15.09.2020 13:24;DPD;0;13,04;0;86,95;9.09.2020 09:52;9.09.2020 10:00;16.09.2020 00:00;25.09.2020 00:00;;No;Awaiting shipment;0;24;0;4;28;32,77
ORDER LINE;Monechelle;M200923366242;9.09.2020 07:48;1-300054796;AKO-A-6-BIALE-LEWE;86,95;0;0;86,95;;AKO;shipped;26,65;0;0;10.09.2020 21:20;15.09.2020 13:24;DPD;0;13,04;0;86,95;9.09.2020 09:52;9.09.2020 10:00;16.09.2020 00:00;25.09.2020 00:00;;No;Awaiting shipment;0;24;0;4;28;32,77
ORDER LINE;CDiscount;20090908520910N;9.09.2020 06:52;1-300054797;AKO-KUCHNIA-OLIWIA-180;199,95;0;19,95;219,9;;AKO;shipped;64,2;0;16;14.09.2020 13:18;17.09.2020 11:24;UPS;0;0;32,98;219,9;9.09.2020 09:52;9.09.2020 10:00;23.09.2020 00:00;2.10.2020 00:00;WaitingForShipmentAcceptation;No;Awaiting shipment;0;1;3;2;6;70,07
ORDER LINE;CDiscount;20090908520910N;9.09.2020 06:52;1-300054797;AKO-KUCHNIA-OLIWIA-180;199,95;0;19,95;219,9;;AKO;shipped;64,2;0;16;14.09.2020 13:18;17.09.2020 11:24;UPS;0;0;32,98;219,9;9.09.2020 09:52;9.09.2020 10:00;23.09.2020 00:00;2.10.2020 00:00;WaitingForShipmentAcceptation;No;Awaiting shipment;0;1;3;2;6;70,07
ORDER LINE;Monechelle;M200923367796;9.09.2020 08:44;1-300054802;AKO-K60-5SZ-BIALA;119,95;0;0;119,95;;AKO;shipped;35,59;0;16;14.09.2020 12:19;17.09.2020 14:01;UPS;0;17,99;0;119,95;9.09.2020 11:00;9.09.2020 11:10;16.09.2020 00:00;25.09.2020 00:00;;No;Awaiting shipment;0;1;3;3;7;30,38
ORDER LINE;Monechelle;M200923367796;9.09.2020 08:44;1-300054802;AKO-K60-5SZ-BIALA;119,95;0;0;119,95;;AKO;shipped;35,59;0;16;14.09.2020 12:19;17.09.2020 14:01;UPS;0;17,99;0;119,95;9.09.2020 11:00;9.09.2020 11:10;16.09.2020 00:00;25.09.2020 00:00;;No;Awaiting shipment;0;1;3;3;7;30,38
ORDER LINE;Monechelle;M200923369854;9.09.2020 10:08;1-300054809;AKO-B-16-CLP-NAROZNE-SONOMA-BIALE-LEWE;166,95;0;0;166,95;;AKO;shipped;55,26;0;16;14.09.2020 13:22;17.09.2020 10:37;UPS;0;25,04;0;166,95;9.09.2020 12:08;9.09.2020 12:10;16.09.2020 00:00;25.09.2020 00:00;;No;Awaiting shipment;0;1;3;2;6;42,83
ORDER LINE;Monechelle;M200923369854;9.09.2020 10:08;1-300054809;AKO-B-16-CLP-NAROZNE-SONOMA-BIALE-LEWE;166,95;0;0;166,95;;AKO;shipped;55,26;0;16;14.09.2020 13:22;17.09.2020 10:37;UPS;0;25,04;0;166,95;9.09.2020 12:08;9.09.2020 12:10;16.09.2020 00:00;25.09.2020 00:00;;No;Awaiting shipment;0;1;3;2;6;42,83
ORDER LINE;conforama;4880361503-A;9.09.2020 08:16;1-300054811;AKO-K60-5SZ-BIALA;99,95;0;9,95;109,9;;AKO;shipped;35,59;0;16;14.09.2020 13:17;17.09.2020 15:06;UPS;0;16,99;0;109,9;9.09.2020 13:15;9.09.2020 13:30;23.09.2020 00:00;2.10.2020 00:00;;No;Awaiting shipment;0;1;3;3;7;23
PARTIAL REPLACEMENT;conforama;4880361503-A;9.09.2020 08:16;1-300054811;AKO-K60-5SZ-BIALA;99,95;0;9,95;109,9;;AKO;shipped;35,59;0;16;30.09.2020 18:00;0000-00-00 00:00:00;DPD;0;16,99;0;109,9;9.09.2020 13:15;9.09.2020 13:30;23.09.2020 00:00;2.10.2020 00:00;;No;Awaiting Protocol;0;19;1;2;22;23
ORDER LINE;conforama;4880361503-A;9.09.2020 08:16;1-300054811;AKO-K60-5SZ-BIALA;99,95;0;9,95;109,9;;AKO;shipped;35,59;0;16;14.09.2020 13:17;17.09.2020 15:06;UPS;0;16,99;0;109,9;9.09.2020 13:15;9.09.2020 13:30;23.09.2020 00:00;2.10.2020 00:00;;No;Awaiting shipment;0;1;3;3;7;23
PARTIAL REPLACEMENT;conforama;4880361503-A;9.09.2020 08:16;1-300054811;AKO-K60-5SZ-BIALA;99,95;0;9,95;109,9;;AKO;shipped;35,59;0;16;30.09.2020 18:00;0000-00-00 00:00:00;DPD;0;16,99;0;109,9;9.09.2020 13:15;9.09.2020 13:30;23.09.2020 00:00;2.10.2020 00:00;;No;Awaiting Protocol;0;19;1;2;22;23
ORDER LINE;Monechelle;M200923371799;9.09.2020 11:27;1-300054815;AKO-FIN-PRALKA-SONOMA;119,95;0;0;119,95;;AKO;shipped;26,65;0;0;10.09.2020 18:22;0000-00-00 00:00:00;DPD;0;17,99;0;119,95;9.09.2020 14:24;9.09.2020 14:30;16.09.2020 00:00;25.09.2020 00:00;;No;Awaiting shipment;0;24;0;22;46;55,32
ORDER LINE;Monechelle;M200923371799;9.09.2020 11:27;1-300054815;AKO-FIN-PRALKA-SONOMA;119,95;0;0;119,95;;AKO;shipped;26,65;0;0;10.09.2020 18:22;0000-00-00 00:00:00;DPD;0;17,99;0;119,95;9.09.2020 14:24;9.09.2020 14:30;16.09.2020 00:00;25.09.2020 00:00;;No;Awaiting shipment;0;24;0;22;46;55,32
ORDER LINE;Monechelle;M200923373260;9.09.2020 12:24;1-300054824;AKO-SZAFKA-BUTY-2D-UCHYLNE-WENGE;59,95;0;0;59,95;;AKO;shipped;17,7;0;0;14.09.2020 13:38;17.09.2020 10:40;UPS;0;8,99;0;59,95;9.09.2020 14:24;9.09.2020 14:30;16.09.2020 00:00;25.09.2020 00:00;;No;Awaiting shipment;0;1;3;2;6;23,27
ORDER LINE;Monechelle;M200923373260;9.09.2020 12:24;1-300054824;AKO-SZAFKA-BUTY-2D-UCHYLNE-WENGE;59,95;0;0;59,95;;AKO;shipped;17,7;0;0;14.09.2020 13:38;17.09.2020 10:40;UPS;0;8,99;0;59,95;9.09.2020 14:24;9.09.2020 14:30;16.09.2020 00:00;25.09.2020 00:00;;No;Awaiting shipment;0;1;3;2;6;23,27
ORDER LINE;CDiscount;2009091340ZKJVO;9.09.2020 11:40;1-300054826;AKO-B-20-NAROZNE-CLP-BIALY-CZARNY-POLYSK-PRAWE;224,95;0;19,95;244,9;;AKO;shipped;92,81;0;16;28.09.2020 11:15;2.10.2020 11:52;UPS;0;0;36,73;244,9;9.09.2020 14:24;9.09.2020 14:30;23.09.2020 00:00;2.10.2020 00:00;WaitingForShipmentAcceptation;No;Awaiting shipment;0;15;3;4;22;58,54
ORDER LINE;CDiscount;2009091340ZKJVO;9.09.2020 11:40;1-300054826;AKO-B-20-NAROZNE-CLP-BIALY-CZARNY-POLYSK-PRAWE;224,95;0;19,95;244,9;;AKO;shipped;92,81;0;16;28.09.2020 11:15;2.10.2020 11:52;UPS;0;0;36,73;244,9;9.09.2020 14:24;9.09.2020 14:30;23.09.2020 00:00;2.10.2020 00:00;WaitingForShipmentAcceptation;No;Awaiting shipment;0;15;3;4;22;58,54
ORDER LINE;CDiscount;2009091438ZFXX9;9.09.2020 12:38;1-300054833;AKO-K120-6SZ-BIALA;121,2;0;19,95;141,15;;AKO;shipped;39,16;0;16;14.09.2020 12:16;17.09.2020 11:18;UPS;3,39;0;24,56;144,54;9.09.2020 15:32;9.09.2020 15:45;23.09.2020 00:00;2.10.2020 00:00;WaitingForShipmentAcceptation;No;Awaiting shipment;0;1;3;2;6;35,08
ORDER LINE;CDiscount;2009091438ZFXX9;9.09.2020 12:38;1-300054833;AKO-K120-6SZ-BIALA;121,2;0;19,95;141,15;;AKO;shipped;39,16;0;16;14.09.2020 12:16;17.09.2020 11:18;UPS;3,39;0;24,56;144,54;9.09.2020 15:32;9.09.2020 15:45;23.09.2020 00:00;2.10.2020 00:00;WaitingForShipmentAcceptation;No;Awaiting shipment;0;1;3;2;6;35,08
ORDER LINE;Monechelle;M200923376768;9.09.2020 14:41;1-300054837;AKO-B-16-CLP-NAROZNE-BIALE-SONOMA-LEWE;166,95;0;0;166,95;;AKO;shipped;55,26;0;16;14.09.2020 13:18;18.09.2020 17:21;UPS;0;25,04;0;166,95;9.09.2020 16:42;9.09.2020 16:45;16.09.2020 00:00;25.09.2020 00:00;;No;Awaiting shipment;0;1;3;4;8;42,83
ORDER LINE;Monechelle;M200923376768;9.09.2020 14:41;1-300054837;AKO-B-16-CLP-NAROZNE-BIALE-SONOMA-LEWE;166,95;0;0;166,95;;AKO;shipped;55,26;0;16;14.09.2020 13:18;18.09.2020 17:21;UPS;0;25,04;0;166,95;9.09.2020 16:42;9.09.2020 16:45;16.09.2020 00:00;25.09.2020 00:00;;No;Awaiting shipment;0;1;3;4;8;42,83
ORDER LINE;CDiscount;2009091544ZAHOV;9.09.2020 13:44;1-300054844;AKO-K60-6SZ-BIALA-POLYSK;219,95;0;19,95;239,9;;AKO;shipped;80,3;0;16;18.09.2020 13:17;23.09.2020 13:44;UPS;0;0;35,98;239,9;9.09.2020 16:42;9.09.2020 16:45;23.09.2020 00:00;2.10.2020 00:00;WaitingForShipmentAcceptation;No;Awaiting shipment;0;1;7;5;13;67,64
ORDER LINE;CDiscount;2009091544ZAHOV;9.09.2020 13:44;1-300054844;AKO-K60-6SZ-BIALA-POLYSK;219,95;0;19,95;239,9;;AKO;shipped;80,3;0;16;18.09.2020 13:17;23.09.2020 13:44;UPS;0;0;35,98;239,9;9.09.2020 16:42;9.09.2020 16:45;23.09.2020 00:00;2.10.2020 00:00;WaitingForShipmentAcceptation;No;Awaiting shipment;0;1;7;5;13;67,64
ORDER LINE;Monechelle;M200923377590;9.09.2020 15:10;1-300054846;AKO-K60-5SZ-BIALA;119,95;0;0;119,95;;AKO;shipped;35,59;0;16;14.09.2020 13:16;17.09.2020 11:25;UPS;0;17,99;0;119,95;9.09.2020 17:50;9.09.2020 17:51;16.09.2020 00:00;25.09.2020 00:00;;No;Awaiting shipment;0;1;3;2;6;30,38
ORDER LINE;Monechelle;M200923377590;9.09.2020 15:10;1-300054846;AKO-K60-5SZ-BIALA;119,95;0;0;119,95;;AKO;shipped;35,59;0;16;14.09.2020 13:16;17.09.2020 11:25;UPS;0;17,99;0;119,95;9.09.2020 17:50;9.09.2020 17:51;16.09.2020 00:00;25.09.2020 00:00;;No;Awaiting shipment;0;1;3;2;6;30,38
ORDER LINE;CDiscount;2009091638Z5OQ4;9.09.2020 14:38;1-300054851;AKO-BIURKO-TED-BIALE;85,95;0;9,95;95,9;;AKO;shipped;32,01;0;0;14.09.2020 13:19;17.09.2020 11:19;UPS;0;0;14,38;95,9;9.09.2020 17:50;9.09.2020 17:51;23.09.2020 00:00;2.10.2020 00:00;WaitingForShipmentAcceptation;No;Awaiting shipment;0;1;3;2;6;33,53
ORDER LINE;CDiscount;2009091638Z5OQ4;9.09.2020 14:38;1-300054851;AKO-BIURKO-TED-BIALE;85,95;0;9,95;95,9;;AKO;shipped;32,01;0;0;14.09.2020 13:19;17.09.2020 11:19;UPS;0;0;14,38;95,9;9.09.2020 17:50;9.09.2020 17:51;23.09.2020 00:00;2.10.2020 00:00;WaitingForShipmentAcceptation;No;Awaiting shipment;0;1;3;2;6;33,53
ORDER LINE;Monechelle;M200923379011;9.09.2020 16:02;1-300054858;AKO-A-6-SONOMA-BIALE-PRAWE;89,95;0;0;89,95;;AKO;shipped;28,43;0;15,95;0000-00-00 00:00:00;0000-00-00 00:00:00;DPD;0;13,49;0;89,95;9.09.2020 17:50;9.09.2020 17:51;16.09.2020 00:00;25.09.2020 00:00;;No;Awaiting shipment;0;11;12;3;26;17,09
ORDER LINE;Monechelle;M200923379011;9.09.2020 16:02;1-300054858;AKO-A-6-SONOMA-BIALE-PRAWE;89,95;0;0;89,95;;AKO;shipped;28,43;0;15,95;0000-00-00 00:00:00;0000-00-00 00:00:00;DPD;0;13,49;0;89,95;9.09.2020 17:50;9.09.2020 17:51;16.09.2020 00:00;25.09.2020 00:00;;No;Awaiting shipment;0;11;12;3;26;17,09
ORDER LINE;CDiscount;2009091712Z2USL;9.09.2020 15:12;1-300054859;AKO-BIURKO-ANA-OLCHA;124,95;0;19,95;144,9;;AKO;shipped;44,53;0;16;14.09.2020 13:16;17.09.2020 12:04;UPS;0;0;21,73;144,9;9.09.2020 19:59;9.09.2020 20:00;23.09.2020 00:00;2.10.2020 00:00;WaitingForShipmentAcceptation;No;Awaiting shipment;0;1;3;2;6;38,49
ORDER LINE;CDiscount;2009091712Z2USL;9.09.2020 15:12;1-300054859;AKO-BIURKO-ANA-OLCHA;124,95;0;19,95;144,9;;AKO;shipped;44,53;0;16;14.09.2020 13:16;17.09.2020 12:04;UPS;0;0;21,73;144,9;9.09.2020 19:59;9.09.2020 20:00;23.09.2020 00:00;2.10.2020 00:00;WaitingForShipmentAcceptation;No;Awaiting shipment;0;1;3;2;6;38,49
ORDER LINE;Monechelle;M200923380640;9.09.2020 16:58;1-300054862;AKO-SZAFA-StarK60-2D2SZ-BIALA;199,95;0;0;199,95;;AKO;shipped;65,99;0;31,9;10.09.2020 17:15;18.09.2020 18:25;DPD;0;29,99;0;199,95;9.09.2020 19:59;9.09.2020 20:00;16.09.2020 00:00;25.09.2020 00:00;;No;Awaiting shipment;0;23;0;8;31;38,75
ORDER LINE;Monechelle;M200923380640;9.09.2020 16:58;1-300054862;AKO-SZAFA-StarK60-2D2SZ-BIALA;199,95;0;0;199,95;;AKO;shipped;65,99;0;31,9;10.09.2020 17:15;18.09.2020 18:25;DPD;0;29,99;0;199,95;9.09.2020 19:59;9.09.2020 20:00;16.09.2020 00:00;25.09.2020 00:00;;No;Awaiting shipment;0;23;0;8;31;38,75
ORDER LINE;Monechelle;M200923380861;9.09.2020 17:06;1-300054864;AKO-K120-6SZ-WENGE;124,95;0;0;124,95;;AKO;awaiting_fulfillment;39,16;0;29,61;0000-00-00 00:00:00;0000-00-00 00:00:00;;0;18,74;0;124,95;9.09.2020 19:59;9.09.2020 20:00;14.10.2020 00:00;23.10.2020 00:00;;No;Awaiting Protocol;0;23;0;0;23;16,62
ORDER LINE;Monechelle;M200923380861;9.09.2020 17:06;1-300054864;AKO-K120-6SZ-WENGE;124,95;0;0;124,95;;AKO;awaiting_fulfillment;39,16;0;29,61;0000-00-00 00:00:00;0000-00-00 00:00:00;;0;18,74;0;124,95;9.09.2020 19:59;9.09.2020 20:00;14.10.2020 00:00;23.10.2020 00:00;;No;Awaiting Protocol;0;23;0;0;23;16,62
ORDER LINE;CDiscount;2009091803YY5J9;9.09.2020 16:03;1-300054866;AKO-BIURKO-ANA-WENGE;144,95;0;19,95;164,9;;AKO;awaiting_fulfillment;44,53;0;29,61;0000-00-00 00:00:00;0000-00-00 00:00:00;;3,95;0;28,68;168,85;9.09.2020 19:59;9.09.2020 20:00;14.10.2020 00:00;23.10.2020 00:00;WaitingForShipmentAcceptation;No;Awaiting Protocol;0;23;0;0;23;31,31
ORDER LINE;CDiscount;2009091803YY5J9;9.09.2020 16:03;1-300054866;AKO-BIURKO-ANA-WENGE;144,95;0;19,95;164,9;;AKO;awaiting_fulfillment;44,53;0;29,61;0000-00-00 00:00:00;0000-00-00 00:00:00;;3,95;0;28,68;168,85;9.09.2020 19:59;9.09.2020 20:00;14.10.2020 00:00;23.10.2020 00:00;WaitingForShipmentAcceptation;No;Awaiting Protocol;0;23;0;0;23;31,31
ORDER LINE;CDiscount;2009091744YZURV;9.09.2020 15:44;1-300054870;AKO-SZAFKA-S16-SONOMA;82,95;0;9,95;92,9;;AKO;awaiting_fulfillment;30,22;0;15,95;0000-00-00 00:00:00;0000-00-00 00:00:00;UPS;2,23;0;16,16;95,13;9.09.2020 19:59;9.09.2020 20:00;23.09.2020 00:00;2.10.2020 00:00;WaitingForShipmentAcceptation;No;Awaiting Protocol;0;1;22;0;23;13,23
ORDER LINE;CDiscount;2009091744YZURV;9.09.2020 15:44;1-300054870;AKO-SZAFKA-S16-SONOMA;82,95;0;9,95;92,9;;AKO;awaiting_fulfillment;30,22;0;15,95;0000-00-00 00:00:00;0000-00-00 00:00:00;UPS;2,23;0;16,16;95,13;9.09.2020 19:59;9.09.2020 20:00;23.09.2020 00:00;2.10.2020 00:00;WaitingForShipmentAcceptation;No;Awaiting Protocol;0;1;22;0;23;13,23
